ICAO,MOF,N,N_VALID,TXOT,REF,ADD_TXOT,AVG_ADD_TXOT
SBCF,2019-05-01T00:00:00Z,3977,3977,58283.80000000006,41910.79999999977,17094.299999999967,4.298290168468687
SBCF,2019-06-01T00:00:00Z,3939,3939,58110.79999999993,41453.09999999963,17331.089999999986,4.399870525514086
SBCF,2019-07-01T00:00:00Z,4471,4471,67415.5999999999,47079.1999999996,21086.880000000045,4.716367702974736
SBCF,2019-08-01T00:00:00Z,4212,4212,61357.4000000001,44103.99999999974,19121.969999999965,4.539878917378909
SBCF,2019-09-01T00:00:00Z,4067,4067,55260.300000000185,42574.49999999973,14256.75999999998,3.505473321858859
SBCF,2019-10-01T00:00:00Z,4180,4180,57314.39999999985,43983.59999999962,15563.850000000011,3.7234090909090938
SBCF,2019-11-01T00:00:00Z,3920,3920,52165.20000000009,41082.19999999984,12594.209999999965,3.212808673469379
SBCF,2019-12-01T00:00:00Z,4039,4039,54985.50000000012,42167.09999999988,14801.629999999992,3.664676900222825
SBCF,2020-01-01T00:00:00Z,4207,4207,59862.59999999994,44080.099999999424,18249.37999999998,4.337860708343232
SBCF,2020-02-01T00:00:00Z,3698,3698,48991.20000000008,38622.99999999976,11672.040000000014,3.1563115197404037
SBCF,2020-03-01T00:00:00Z,2751,2751,34662.29999999998,28778.199999999964,7255.099999999996,2.637259178480551
SBCF,2020-04-01T00:00:00Z,257,257,2861.1000000000013,2790.1999999999994,359.45,1.3986381322957198
SBCF,2020-05-01T00:00:00Z,297,297,3423.500000000001,3206.399999999998,512.3599999999999,1.7251178451178448
SBCF,2020-06-01T00:00:00Z,336,336,3510.2,3695.899999999994,232.64000000000004,0.6923809523809525
SBCF,2020-07-01T00:00:00Z,489,489,5204.299999999999,5397.89999999999,371.01000000000005,0.7587116564417179
SBCF,2020-08-01T00:00:00Z,749,749,8299.499999999995,8383.199999999983,649.2399999999998,0.8668090787716953
SBCF,2020-09-01T00:00:00Z,1137,1137,12672.100000000006,12646.600000000017,1064.14,0.9359190853122252
SBCF,2020-10-01T00:00:00Z,1820,1820,21349.499999999953,19746.000000000116,2678.389999999998,1.4716428571428561
SBCF,2020-11-01T00:00:00Z,2217,2217,27307.5,24024.599999999966,4480.840000000004,2.0211276499774486
SBCF,2020-12-01T00:00:00Z,2702,2702,33430.700000000004,29367.3,5481.199999999998,2.028571428571428
SBCF,2021-01-01T00:00:00Z,3005,3005,37025.69999999994,32708.899999999954,5892.8499999999885,1.9610149750415935
SBCF,2021-02-01T00:00:00Z,2129,2129,25698.100000000017,23037.1,3805.160000000004,1.7872992015030549
SBCF,2021-03-01T00:00:00Z,2155,2155,25146.400000000085,23415.000000000036,3127.710000000002,1.4513735498839915
SBCF,2021-04-01T00:00:00Z,1674,1674,19205.699999999983,18411.60000000009,2010.4000000000008,1.200955794504182
SBCF,2021-05-01T00:00:00Z,1925,1925,22523.199999999997,20949.800000000087,2748.070000000004,1.427568831168833
SBCF,2021-06-01T00:00:00Z,2133,2133,25184.40000000005,23281.500000000087,3202.3300000000063,1.5013267698077855
