APT_ICAO,DATE,PHASE,N_VALID,(-1e+09.-60],(-60.-55],(-55.-50],(-50.-45],(-45.-40],(-40.-35],(-35.-30],(-30.-25],(-25.-20],(-20.-15],(-15.-10],(-10.-5],(-5.0],(0.5],(5.10],(10.15],(15.20],(20.25],(25.30],(30.35],(35.40],(40.45],(45.50],(50.55],(55.60],(60.1e+09],EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
SBRJ,2020-07,ARR,767,0,0,0,0,0,0,4,35,87,120,123,108,84,70,39,26,12,17,7,10,10,5,0,2,1,7,0.30117,0.10952,0.09126,0.08475,0.20078,0.5867
SBRJ,2021-07,ARR,2577,0,0,0,0,0,4,11,54,144,296,458,469,409,315,129,98,49,39,16,15,15,8,4,9,5,30,0.35972,0.15871,0.12224,0.08809,0.28095,0.72875
SBRJ,2019-08,ARR,2827,0,0,0,0,0,3,8,30,102,249,451,495,454,376,224,119,93,57,44,34,24,13,11,13,9,18,0.33463,0.16059,0.133,0.12133,0.2936,0.74956
SBRJ,2020-08,ARR,1056,1,1,0,0,1,12,29,60,84,144,140,186,125,121,56,27,22,12,11,11,4,3,2,1,1,2,0.30871,0.11837,0.11458,0.0786,0.23295,0.62027
SBRJ,2021-08,ARR,2655,0,0,0,0,0,0,2,31,137,365,537,561,378,289,131,68,37,25,28,13,13,6,7,4,2,21,0.41356,0.14237,0.10885,0.07495,0.25122,0.73974
SBRJ,2019-09,ARR,1563,0,0,0,0,0,0,8,34,91,175,239,258,207,171,93,57,52,36,38,10,13,9,10,7,1,54,0.31798,0.13244,0.1094,0.09597,0.24184,0.65579
SBRJ,2020-09,ARR,1531,0,0,0,0,0,2,12,38,109,240,292,279,179,160,79,38,33,21,13,10,6,7,2,2,2,7,0.37296,0.11692,0.10451,0.07642,0.22142,0.6708
SBRJ,2021-09,ARR,2672,0,0,0,0,1,0,3,24,125,297,550,541,426,300,132,90,58,36,17,15,11,9,11,1,4,20,0.40831,0.15943,0.11228,0.08308,0.27171,0.7631
SBRJ,2019-10,ARR,4111,0,0,0,0,0,1,4,42,177,367,624,730,630,503,303,200,148,94,65,41,35,29,16,16,11,73,0.32936,0.15325,0.12235,0.12235,0.2756,0.72732
SBRJ,2020-10,ARR,2047,0,0,0,0,0,1,20,73,168,331,383,337,254,184,110,54,37,29,13,10,4,5,6,1,2,25,0.35173,0.12408,0.08989,0.08012,0.21397,0.64582
SBRJ,2021-10,ARR,2688,1,1,0,0,0,0,0,24,96,300,496,495,380,338,143,114,65,45,35,30,17,14,5,10,5,74,0.36868,0.14137,0.12574,0.09561,0.26711,0.7314
SBRJ,2019-11,ARR,3994,0,0,0,0,0,1,4,55,165,382,575,623,572,472,303,201,138,113,80,49,53,38,28,23,18,101,0.29995,0.14321,0.11818,0.12619,0.26139,0.68753
SBRJ,2020-11,ARR,2311,0,0,0,0,0,1,4,56,183,326,424,365,271,227,125,67,53,43,42,21,31,12,9,9,8,34,0.34141,0.11727,0.09823,0.08308,0.21549,0.63998
SBRJ,2021-11,ARR,2997,0,0,0,0,0,1,4,21,108,268,467,520,456,376,229,159,81,82,49,37,23,18,10,12,14,62,0.32933,0.15215,0.12546,0.12946,0.27761,0.7364
SBRJ,2019-12,ARR,4318,0,0,0,0,0,0,10,45,156,351,518,653,606,569,294,219,190,135,99,111,63,66,37,24,32,140,0.27119,0.14034,0.13177,0.11881,0.27212,0.66211
SBRJ,2020-12,ARR,2823,0,0,0,0,1,3,12,48,170,338,491,445,383,344,149,109,79,49,48,37,36,14,9,9,7,41,0.33156,0.13567,0.12186,0.09139,0.25753,0.68048
SBRJ,2021-12,ARR,3390,0,0,0,0,0,1,4,27,114,271,454,473,510,491,256,215,135,99,64,61,36,32,24,13,13,96,0.27345,0.15044,0.14484,0.13894,0.29528,0.70767
SBSP,2019-01,ARR,7554,0,0,0,0,4,7,31,125,394,844,1171,1108,964,806,499,354,289,205,150,104,88,61,56,53,41,198,0.30169,0.12761,0.1067,0.11292,0.23431,0.64893
SBSP,2020-01,ARR,7776,0,0,0,0,0,4,20,130,398,928,1330,1343,1088,897,448,297,220,143,110,86,56,55,37,37,16,128,0.34375,0.13992,0.11535,0.09581,0.25527,0.69483
SBSP,2021-01,ARR,3455,0,0,0,0,0,6,39,133,358,614,641,577,385,255,163,83,55,40,27,14,9,8,3,5,3,37,0.35253,0.11143,0.07381,0.0712,0.18524,0.60897
SBSP,2022-01,ARR,5169,0,0,0,0,0,3,20,89,300,637,899,898,665,539,279,185,166,102,74,58,48,38,27,22,18,98,0.34765,0.12865,0.10428,0.08977,0.23293,0.67034
SBSP,2019-02,ARR,6713,0,0,0,0,0,3,13,79,283,612,948,997,857,782,439,364,263,213,159,149,101,84,74,56,41,194,0.28974,0.12766,0.11649,0.11962,0.24415,0.65351
SBSP,2020-02,ARR,6853,1,0,0,0,0,2,20,99,300,780,1094,1155,916,759,390,275,200,162,123,94,87,55,53,38,41,205,0.32818,0.13366,0.11075,0.09704,0.24442,0.66963
SBSP,2021-02,ARR,2584,0,0,0,1,2,9,28,105,297,515,565,459,263,140,68,45,15,17,13,10,7,5,0,1,2,16,0.39628,0.10178,0.05418,0.04373,0.15596,0.59598
SBSP,2022-02,ARR,3903,0,0,0,0,0,3,17,69,315,599,944,811,444,315,131,78,58,23,13,6,8,6,7,3,1,48,0.44965,0.11376,0.08071,0.05355,0.19447,0.69767
SBSP,2019-03,ARR,7149,0,0,0,0,0,7,17,141,401,862,1155,1174,850,789,393,298,243,158,154,92,71,66,47,37,37,154,0.32578,0.1189,0.11037,0.09666,0.22926,0.6517
SBSP,2020-03,ARR,4967,0,0,0,0,1,4,29,108,405,808,1061,909,643,437,206,102,65,43,20,23,18,15,2,5,14,47,0.39662,0.12945,0.08798,0.06201,0.21744,0.67606
SBSP,2021-03,ARR,2101,0,0,0,0,1,15,34,109,328,536,477,315,134,77,28,11,8,5,2,1,6,1,0,3,2,7,0.37696,0.06378,0.03665,0.01856,0.10043,0.49595
SBSP,2022-03,ARR,4073,0,0,0,0,0,3,8,61,257,548,805,821,607,404,200,113,62,45,33,26,17,7,4,6,7,37,0.39921,0.14903,0.09919,0.07685,0.24822,0.72428
SBSP,2019-04,ARR,7008,0,1,0,0,0,3,17,98,364,817,1189,1139,940,769,415,292,224,147,124,86,58,42,43,31,28,177,0.33219,0.13413,0.10973,0.10088,0.24386,0.67694
SBSP,2020-04,ARR,60,0,0,0,0,0,1,5,6,8,11,6,8,5,1,2,2,1,1,0,0,0,1,0,0,0,2,0.23333,0.08333,0.01667,0.06667,0.1,0.4
SBSP,2021-04,ARR,1155,0,0,0,0,0,3,25,63,149,261,271,167,100,61,25,11,5,3,2,1,0,1,2,1,1,3,0.37922,0.08658,0.05281,0.03117,0.13939,0.54978
SBSP,2022-04,ARR,4736,0,0,0,1,0,3,9,67,242,577,952,856,717,528,260,161,107,55,55,29,17,14,15,6,6,57,0.38176,0.15139,0.11149,0.08889,0.26288,0.73353
SBSP,2019-05,ARR,7096,0,1,0,0,1,2,21,127,401,854,1300,1225,985,814,388,266,169,136,107,74,54,35,20,20,13,83,0.35583,0.13881,0.11471,0.09216,0.25352,0.70152
SBSP,2020-05,ARR,31,0,0,0,0,0,1,0,1,1,9,12,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.51613,0,0,0,0,0.51613
SBSP,2021-05,ARR,1730,0,0,0,1,0,2,17,97,252,341,366,277,150,95,48,25,15,10,8,4,3,7,1,1,0,10,0.37168,0.08671,0.05491,0.0422,0.14162,0.55549
SBSP,2022-05,ARR,5682,0,0,0,0,0,0,6,56,203,605,1010,1070,935,673,363,215,145,91,64,42,30,21,21,14,7,109,0.36607,0.16455,0.11844,0.10172,0.283,0.75079
SBSP,2019-06,ARR,6466,0,0,0,0,0,2,14,89,380,858,1244,1211,851,695,333,240,137,115,69,61,32,25,28,14,11,56,0.37968,0.13161,0.10749,0.08862,0.2391,0.70739
SBSP,2020-06,ARR,372,0,0,0,0,0,4,7,22,68,101,100,37,16,3,5,1,0,1,1,1,0,1,0,0,1,3,0.36828,0.04301,0.00806,0.01613,0.05108,0.43548
SBSP,2021-06,ARR,2121,0,0,0,0,0,3,12,61,210,438,492,375,235,140,38,41,15,9,16,7,7,5,0,2,2,13,0.40877,0.1108,0.06601,0.03725,0.1768,0.62282
SBSP,2019-07,ARR,7095,0,0,0,0,0,2,10,72,326,833,1285,1203,971,835,455,278,212,153,118,76,63,39,25,20,12,104,0.35067,0.13686,0.11769,0.10331,0.25455,0.70853
SBSP,2020-07,ARR,665,0,0,0,0,2,8,16,49,118,168,138,77,40,17,4,3,0,6,2,4,1,2,1,0,1,8,0.32331,0.06015,0.02556,0.01053,0.08571,0.41955
SBSP,2021-07,ARR,3347,0,0,0,0,1,0,4,45,175,469,728,732,481,369,127,77,35,18,16,8,6,4,5,2,3,40,0.43621,0.14371,0.11025,0.06095,0.25396,0.75112
SBSP,2019-08,ARR,7030,0,0,0,0,0,0,18,123,385,907,1286,1234,948,759,428,280,185,129,84,62,50,29,13,15,19,74,0.35846,0.13485,0.10797,0.10071,0.24282,0.70199
