ICAO,YEAR,PHASE,SLOT2,N,FLIGHTS,N_VALID,SHARE,LABEL
SBRJ,2019,ARR,LATE,6327,6327,41309,0.15316274903773996,LATE-15.3%
SBRJ,2019,DEP,EARLY,34,34,41494,8.193955752638936e-4,EARLY-0.1%
SBRJ,2019,DEP,EARLY_1505,10335,10335,41494,0.24907215501036295,EARLY_1505-24.9%
SBRJ,2019,DEP,WITHIN_5,18007,18007,41494,0.4339663565816745,WITHIN_5-43.4%
SBRJ,2019,DEP,LATE_0515,6031,6031,41494,0.1453463151298983,LATE_0515-14.5%
SBRJ,2019,DEP,LATE,7087,7087,41494,0.1707957777028004,LATE-17.1%
SBRJ,2020,ARR,EARLY,5685,5685,22743,0.2499670228202084,EARLY-25%
SBRJ,2020,ARR,EARLY_1505,7317,7317,22743,0.32172536604669566,EARLY_1505-32.2%
SBRJ,2020,ARR,WITHIN_5,4844,4844,22743,0.21298861188057863,WITHIN_5-21.3%
SBRJ,2020,ARR,LATE_0515,2304,2304,22743,0.10130589631974674,LATE_0515-10.1%
SBRJ,2020,ARR,LATE,2593,2593,22743,0.11401310293277052,LATE-11.4%
SBRJ,2020,DEP,EARLY,62,62,22871,0.0027108565432206726,EARLY-0.3%
SBRJ,2020,DEP,EARLY_1505,7484,7484,22871,0.32722661886231474,EARLY_1505-32.7%
SBRJ,2020,DEP,WITHIN_5,9928,9928,22871,0.43408683485636834,WITHIN_5-43.4%
SBRJ,2020,DEP,LATE_0515,2671,2671,22871,0.11678544882165187,LATE_0515-11.7%
SBRJ,2020,DEP,LATE,2726,2726,22871,0.11919024091644441,LATE-11.9%
SBRJ,2021,ARR,EARLY,6528,6528,28854,0.2262424620503223,EARLY-22.6%
SBRJ,2021,ARR,EARLY_1505,10440,10440,28854,0.3618215845290081,EARLY_1505-36.2%
SBRJ,2021,ARR,WITHIN_5,6497,6497,28854,0.22516808761350246,WITHIN_5-22.5%
SBRJ,2021,ARR,LATE_0515,2786,2786,28854,0.096555070354197,LATE_0515-9.7%
SBRJ,2021,ARR,LATE,2603,2603,28854,0.09021279545297013,LATE-9%
SBRJ,2021,DEP,EARLY,73,73,29261,0.002494788284747616,EARLY-0.2%
SBRJ,2021,DEP,EARLY_1505,9920,9920,29261,0.33901780526981307,EARLY_1505-33.9%
SBRJ,2021,DEP,WITHIN_5,13237,13237,29261,0.4523768839069068,WITHIN_5-45.2%
SBRJ,2021,DEP,LATE_0515,3209,3209,29261,0.10966815898294659,LATE_0515-11%
SBRJ,2021,DEP,LATE,2822,2822,29261,0.09644236355558593,LATE-9.6%
SBRJ,2022,ARR,EARLY,4346,4346,22904,0.18974851554313657,EARLY-19%
SBRJ,2022,ARR,EARLY_1505,8665,8665,22904,0.3783181976947258,EARLY_1505-37.8%
SBRJ,2022,ARR,WITHIN_5,5584,5584,22904,0.24380020957038073,WITHIN_5-24.4%
SBRJ,2022,ARR,LATE_0515,2229,2229,22904,0.09731924554662941,LATE_0515-9.7%
SBRJ,2022,ARR,LATE,2080,2080,22904,0.09081383164512749,LATE-9.1%
SBRJ,2022,DEP,EARLY,36,36,25058,0.0014366669327160987,EARLY-0.1%
SBRJ,2022,DEP,EARLY_1505,8225,8225,25058,0.3282384867108309,EARLY_1505-32.8%
SBRJ,2022,DEP,WITHIN_5,11472,11472,25058,0.4578178625588634,WITHIN_5-45.8%
SBRJ,2022,DEP,LATE_0515,2870,2870,25058,0.1145342804693112,LATE_0515-11.5%
SBRJ,2022,DEP,LATE,2455,2455,25058,0.0979727033282784,LATE-9.8%
SBSP,2019,ARR,EARLY,17934,17934,85640,0.20941148995796358,EARLY-20.9%
SBSP,2019,ARR,EARLY_1505,28332,28332,85640,0.33082671648762263,EARLY_1505-33.1%
SBSP,2019,ARR,WITHIN_5,18447,18447,85640,0.21540168145726296,WITHIN_5-21.5%
SBSP,2019,ARR,LATE_0515,9023,9023,85640,0.10535964502568892,LATE_0515-10.5%
SBSP,2019,ARR,LATE,11904,11904,85640,0.13900046707146194,LATE-13.9%
