ICAO,YEAR,PHASE,SLOT2,N,FLIGHTS,N_VALID,SHARE,LABEL
SBCF,2022,ARR,EARLY,5398,5398,22995,0.23474668406175256,EARLY-23.5%
SBCF,2022,ARR,EARLY_1505,8952,8952,22995,0.3893020221787345,EARLY_1505-38.9%
SBCF,2022,ARR,WITHIN_5,4864,4864,22995,0.21152424440095674,WITHIN_5-21.2%
SBCF,2022,ARR,LATE_0515,1774,1774,22995,0.0771472059143292,LATE_0515-7.7%
SBCF,2022,ARR,LATE,2007,2007,22995,0.08727984344422701,LATE-8.7%
SBCF,2022,DEP,EARLY,110,110,24142,0.004556374782536658,EARLY-0.5%
SBCF,2022,DEP,EARLY_1505,8867,8867,24142,0.3672852290613868,EARLY_1505-36.7%
SBCF,2022,DEP,WITHIN_5,10665,10665,24142,0.4417612459613951,WITHIN_5-44.2%
SBCF,2022,DEP,LATE_0515,2178,2178,24142,0.09021622069422583,LATE_0515-9%
SBCF,2022,DEP,LATE,2322,2322,24142,0.09618092950045563,LATE-9.6%
SBCT,2019,ARR,EARLY,5963,5963,29749,0.2004437123936939,EARLY-20%
SBCT,2019,ARR,EARLY_1505,9890,9890,29749,0.33244814951763085,EARLY_1505-33.2%
SBCT,2019,ARR,WITHIN_5,6615,6615,29749,0.22236041547615046,WITHIN_5-22.2%
SBCT,2019,ARR,LATE_0515,3149,3149,29749,0.10585229755622037,LATE_0515-10.6%
SBCT,2019,ARR,LATE,4132,4132,29749,0.13889542505630442,LATE-13.9%
SBCT,2019,DEP,EARLY,218,218,29831,0.007307834132278502,EARLY-0.7%
SBCT,2019,DEP,EARLY_1505,9020,9020,29831,0.3023700177667527,EARLY_1505-30.2%
SBCT,2019,DEP,WITHIN_5,11806,11806,29831,0.39576279709027523,WITHIN_5-39.6%
SBCT,2019,DEP,LATE_0515,3829,3829,29831,0.12835640776373572,LATE_0515-12.8%
SBCT,2019,DEP,LATE,4958,4958,29831,0.16620294324695786,LATE-16.6%
SBCT,2020,ARR,EARLY,2948,2948,11955,0.2465913843580092,EARLY-24.7%
