ICAO,MOF,SRC_PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
EDDF,2019-01-01T00:00:00Z,ARR,18794,777117.9415914799,3515011.134366834
EDDF,2019-01-01T00:00:00Z,DEP,18882,1612967.7966932557,5830218.732868701
EDDF,2019-02-01T00:00:00Z,ARR,18416,690699.7477923215,3280135.0944097703
EDDF,2019-02-01T00:00:00Z,DEP,18429,1031527.448667755,5062838.889828254
EDDF,2019-03-01T00:00:00Z,ARR,21030,775189.649417048,3809065.691578664
EDDF,2019-03-01T00:00:00Z,DEP,21022,1345513.877726532,6015456.646902351
EDDF,2019-04-01T00:00:00Z,ARR,21847,790676.5577008221,3702031.397301693
EDDF,2019-04-01T00:00:00Z,DEP,21828,1306814.772395656,5994344.203138843
EDDF,2019-05-01T00:00:00Z,ARR,23080,935280.2706564186,4164499.508367043
EDDF,2019-05-01T00:00:00Z,DEP,23087,1470616.9626140231,6388300.839609313
EDDF,2019-06-01T00:00:00Z,ARR,22930,929911.0826455796,4103309.331654349
EDDF,2019-06-01T00:00:00Z,DEP,22938,1398131.8408151644,6302138.790253857
EDDF,2019-07-01T00:00:00Z,ARR,23556,891614.7957279934,4206541.035557529
EDDF,2019-07-01T00:00:00Z,DEP,23561,1114413.4137810485,6203890.579686629
EDDF,2019-08-01T00:00:00Z,ARR,23197,790519.5178636172,4127988.132426856
EDDF,2019-08-01T00:00:00Z,DEP,23196,1049382.648834952,6088575.5707839485
EDDF,2019-09-01T00:00:00Z,ARR,23354,954237.1479161786,4296683.847906802
EDDF,2019-09-01T00:00:00Z,DEP,23349,1477724.2007301494,6450860.9554795595
EDDF,2019-10-01T00:00:00Z,ARR,22970,976986.5413562136,4248296.333692582
EDDF,2019-10-01T00:00:00Z,DEP,22966,1570184.373228626,6500199.681405322
EDDF,2019-11-01T00:00:00Z,ARR,19381,811398.1881913055,3553549.6890985854
EDDF,2019-11-01T00:00:00Z,DEP,19401,1197082.1355671892,5463729.818056068
EDDF,2019-12-01T00:00:00Z,ARR,18373,805667.2778962874,3476022.428468674
EDDF,2019-12-01T00:00:00Z,DEP,18258,1186091.2024616378,5280240.125983526
EDDF,2020-01-01T00:00:00Z,ARR,18145,739248.6839204918,3395645.781410772
EDDF,2020-01-01T00:00:00Z,DEP,18244,942159.8525252496,5049286.0887795
EDDF,2020-02-01T00:00:00Z,ARR,17930,679346.9010443958,3242846.1696544853
EDDF,2020-02-01T00:00:00Z,DEP,17927,999554.451992144,4901252.398878686
EDDF,2020-03-01T00:00:00Z,ARR,11443,354547.1279557665,2080814.8003997216
EDDF,2020-03-01T00:00:00Z,DEP,11396,314886.5032150835,3040008.8905069083
EDDF,2020-04-01T00:00:00Z,ARR,3244,166031.0942760465,732459.1861148686
EDDF,2020-04-01T00:00:00Z,DEP,3260,73070.59112288135,1173613.564121239
EDDF,2020-05-01T00:00:00Z,ARR,3885,106172.7112644078,780924.8183270294
EDDF,2020-05-01T00:00:00Z,DEP,3871,87525.57855475634,1287946.9123592428
