AIRPORT,DATE,PHASE,FLIGHTS,TOT_TAXI,TOT_REF,TOT_ADD,AVG_ADD
SBBR,2019-01,DEP,6261,104197.6,80518.33333333333,23679.266666666663,3.7820263003780017
SBBR,2019-02,DEP,5233,84669.61666666667,66420.25,18249.36666666667,3.4873622523727628
SBBR,2019-03,DEP,6007,98055.58333333331,77078.28333333333,20977.300000000003,3.4921425004161812
SBBR,2019-04,DEP,5766,95475.71666666666,74254.83333333333,21220.883333333335,3.6803474390102906
SBBR,2019-05,DEP,5914,97212.15,76786.36666666667,20425.783333333333,3.453801713448315
SBBR,2019-06,DEP,5442,87844.58333333333,70835.58333333333,17009,3.12550532892319
SBBR,2019-07,DEP,6316,103553.1,81994.95,21558.15,3.413259974667511
SBBR,2019-08,DEP,5942,97862.4,76960.26666666666,20902.133333333335,3.5176932570402784
SBBR,2019-09,DEP,5956,100354.11666666668,76304.55,24049.56666666667,4.037872173718379
SBBR,2019-10,DEP,6321,107820.28333333334,80631.86666666667,27188.416666666668,4.301284079523282
SBBR,2019-11,DEP,6273,107533.4,79289.68333333333,28243.716666666667,4.502425739943674
SBBR,2019-12,DEP,6318,108191.51666666666,80117.46666666666,28074.050000000003,4.443502690724913
SBBR,2020-01,DEP,6245,104651.46666666666,77859.91666666666,26791.550000000003,4.290080064051241
SBBR,2020-02,DEP,5631,96180.06666666668,71534.73333333334,24645.333333333336,4.3767240868999
SBBR,2020-03,DEP,4444,75853.75,56600.5,19253.25,4.332414491449145
SBBR,2020-04,DEP,944,12766.15,10889.216666666667,1876.9333333333332,1.9882768361581915
SBBR,2020-05,DEP,1178,19157.1,15257.433333333332,3899.666666666667,3.310413129598189
SBBR,2020-06,DEP,1523,21169.5,17529.61666666667,3639.8833333333328,2.389943094769096
SBBR,2020-07,DEP,2258,34037.833333333336,26844.966666666667,7192.866666666666,3.185503395335105
SBBR,2020-08,DEP,2971,47385.21666666667,36020.8,11364.416666666666,3.825115000560978
SBBR,2020-09,DEP,3585,60934.583333333336,43887.683333333334,17046.9,4.755062761506276
SBBR,2020-10,DEP,4204,73080.28333333334,51898.13333333333,21182.15,5.038570409134158
SBBR,2020-11,DEP,4051,68384.98333333334,50021.816666666666,18363.166666666668,4.532995968073727
SBBR,2020-12,DEP,4845,81333.78333333334,60287.066666666666,21046.716666666667,4.344007567939457
SBBR,2021-01,DEP,4632,75086.3,57511.899999999994,17574.4,3.79412780656304
SBBR,2021-02,DEP,3778,59744.9,47126.28333333333,12618.616666666669,3.3400255867301927
SBBR,2021-03,DEP,3485,55325.833333333336,43830.26666666666,11495.566666666668,3.2985844093735057
SBBR,2021-04,DEP,2789,43776.98333333333,34616.88333333333,9160.1,3.2843671566869848
SBBR,2021-05,DEP,3554,56046.85,44628.1,11418.75,3.212929093978616
SBBR,2021-06,DEP,3917,62543.7,49256.88333333333,13286.816666666668,3.392090034890648
SBBR,2021-07,DEP,4654,73780.43333333333,58431.51666666666,15348.916666666668,3.298005300100272
SBBR,2021-08,DEP,4897,78564.88333333333,61607.416666666664,16957.466666666667,3.4628275815124905
SBBR,2021-09,DEP,5137,83574.43333333333,64595.066666666666,18979.36666666667,3.694640192070599
SBBR,2021-10,DEP,5251,84532.78333333334,65351.166666666664,19181.61666666667,3.652945470703993
SBBR,2021-11,DEP,4796,78606.81666666667,59714.683333333334,18892.133333333335,3.93914373088685
SBBR,2021-12,DEP,5897,97602.45,74030.8,23571.65,3.9972274037646263
SBCF,2019-01,DEP,4208,55765.96666666667,42676.68333333333,13089.283333333336,3.1105711343472753
SBCF,2019-02,DEP,3843,51039.25,38879.57666666667,12159.673333333334,3.164109636568653
SBCF,2019-03,DEP,4113,51674.333333333336,41708.18333333333,9966.15,2.4230853391684906
SBCF,2019-04,DEP,4029,50949.05,40754.11666666666,10190.916666666668,2.5300190334326387
SBCF,2019-05,DEP,4131,52314.71666666667,41835.28333333333,10479.433333333334,2.5367788267570406
SBCF,2019-06,DEP,4091,52248.48333333333,41510.956666666665,10737.526666666668,2.624670414731525
SBCF,2019-07,DEP,4672,61267.46666666667,47312.92,13954.546666666669,2.986846461187215
SBCF,2019-08,DEP,4403,61053.4,44671.69333333333,16365.540000000005,3.718595773687799
SBCF,2019-09,DEP,4235,57130.98333333333,42964.22333333333,14163.543333333337,3.3451920957329557
SBCF,2019-10,DEP,4367,57280.416666666664,44243.72333333333,13034.376666666669,2.9854275461902584
SBCF,2019-11,DEP,4138,54742.75,41922.64666666666,12820.103333333334,3.098140003222169
SBCF,2019-12,DEP,4416,58919.65,44675.066666666666,14237.566666666668,3.225547500377586
SBCF,2020-01,DEP,4611,62380.65,46504.24333333333,15876.406666666668,3.4431591122677654
SBCF,2020-02,DEP,3954,52580.433333333334,39970.42333333333,12606.843333333334,3.1891837423054223
SBCF,2020-03,DEP,2947,38027.2,29919.36333333333,8107.836666666668,2.751217056894017
SBCF,2020-04,DEP,353,3900.2166666666662,3576.64,323.57666666666677,0.9166477809254016
SBCF,2020-05,DEP,387,4525.75,3918.963333333333,606.7866666666669,1.567924203273041
SBCF,2020-06,DEP,504,5737.133333333333,5115.9366666666665,621.1966666666669,1.2325330687830691
SBCF,2020-07,DEP,773,8755.15,7833.943333333333,921.206666666667,1.1917291936179393
SBCF,2020-08,DEP,896,10534.383333333331,9102.253333333332,1432.1300000000006,1.5983593750000005
SBCF,2021-04,DEP,1681,20135.583333333332,17061.736666666668,3073.8466666666677,1.8285821931390052
SBCF,2021-05,DEP,2032,24910.883333333335,20589.5,4314.283333333334,2.124216313802725
SBCF,2021-06,DEP,2245,27627.383333333335,22793.68333333333,4833.700000000001,2.153095768374165
SBCF,2021-07,DEP,2933,37338.03333333333,29740.536666666667,7597.496666666668,2.590350039777248
