AIRPORT,DATE,PHASE,FLIGHTS,TOT_TAXI,TOT_REF,TOT_ADD,AVG_ADD
SBBR,2019-01,DEP,6261,104197.6,73577.13799500868,30620.46200499131,4.890666348026084
SBBR,2019-02,DEP,5233,84669.61666666667,60613.95083918478,24055.66582748189,4.596916840718879
SBBR,2019-03,DEP,6007,98055.58333333331,70421.55608899218,27634.02724434116,4.600304185840046
SBBR,2019-04,DEP,5766,95475.71666666666,67881.07435900976,27594.642307656915,4.785751354085487
SBBR,2019-05,DEP,5914,97212.15,70252.76165585629,26959.388344143717,4.55857090702464
SBBR,2019-06,DEP,5442,87844.58333333333,64824.8163342077,23019.766999125623,4.23001966172834
SBBR,2019-07,DEP,6316,103553.1,75024.43940196664,28528.66059803337,4.51688736510978
SBBR,2019-08,DEP,5942,97862.4,70385.0752637341,27477.32473626589,4.624255256860635
SBBR,2019-09,DEP,5956,100354.11666666668,69685.4631526137,30668.65351405297,5.149203074891365
SBBR,2019-10,DEP,6321,107820.28333333334,73617.77901728294,34202.50431605039,5.410932497397626
SBBR,2019-11,DEP,6273,107533.4,72312.46663603095,35220.93336396905,5.614687289011486
SBBR,2019-12,DEP,6318,108191.51666666666,73103.029284356,35088.48738231066,5.553733362189088
SBBR,2020-01,DEP,6245,104651.46666666666,70909.32400926772,33742.14265739895,5.403065277405757
SBBR,2020-02,DEP,5631,96180.06666666668,65281.44477120069,30898.62189546598,5.487235285999997
SBBR,2020-03,DEP,4444,75853.75,51655.65175884727,24198.098241152733,5.4451166159209565
SBBR,2020-04,DEP,944,12766.15,9796.558172285018,2969.5918277149813,3.145754054782819
SBBR,2020-05,DEP,1178,19157.1,13959.466640443923,5197.6333595560745,4.412252427466957
SBBR,2020-06,DEP,1523,21169.5,15768.528879809708,5400.971120190292,3.546271254228688
SBBR,2020-07,DEP,2258,34037.833333333336,24270.306544623312,9767.52678871002,4.325742599074411
SBBR,2020-08,DEP,2971,47385.21666666667,32651.159604931516,14734.05706173515,4.959292178301969
SBBR,2020-09,DEP,3585,60934.583333333336,39840.24708341633,21094.336249917003,5.884054741957323
SBBR,2020-10,DEP,4204,73080.28333333334,47178.74600385972,25901.537329473616,6.16116492137812
SBBR,2020-11,DEP,4051,68384.98333333334,45475.37117985959,22909.612153473743,5.655297989008576
SBBR,2020-12,DEP,4845,81333.78333333334,54864.56170460684,26469.2216287265,5.463203638540041
SBBR,2021-01,DEP,4632,75086.3,52315.10043349376,22771.19956650624,4.916062082579068
SBBR,2021-02,DEP,3778,59744.9,42908.38914462925,16836.51085537075,4.456461316932438
SBBR,2021-03,DEP,3485,55325.833333333336,39940.62871620493,15385.20461712841,4.414692860008152
SBBR,2021-04,DEP,2789,43776.98333333333,31489.127587036874,12287.85574629646,4.405828521440108
SBBR,2021-05,DEP,3554,56046.85,40654.753500351166,15392.096499648838,4.330921918865739
SBBR,2021-06,DEP,3917,62543.7,44875.34362460665,17668.35637539335,4.510685824711093
SBBR,2021-07,DEP,4654,73780.43333333333,53229.28366240639,20551.14967092694,4.415803539090447
