FIR,ano,mes,dia,mov
BRASIL,2016,5,8,3376
BRASIL,2016,5,9,4245
BRASIL,2016,5,10,4039
BRASIL,2016,5,11,4595
BRASIL,2016,5,12,4876
BRASIL,2016,5,13,4925
BRASIL,2016,5,14,3930
BRASIL,2016,5,15,3816
BRASIL,2016,5,16,4421
BRASIL,2016,5,17,4317
BRASIL,2016,5,18,4369
BRASIL,2016,5,19,4541
BRASIL,2016,5,20,4987
BRASIL,2016,5,21,3709
BRASIL,2016,5,22,3575
BRASIL,2016,5,23,4547
BRASIL,2016,5,24,4818
BRASIL,2016,5,25,5448
BRASIL,2016,5,26,4603
BRASIL,2016,5,27,2964
BRASIL,2016,5,28,3079
BRASIL,2016,5,29,3943
BRASIL,2016,5,30,4318
BRASIL,2016,5,31,4520
BRASIL,2016,6,1,4706
BRASIL,2016,6,2,4782
BRASIL,2016,6,3,4563
BRASIL,2016,6,4,3705
BRASIL,2016,6,5,3412
BRASIL,2016,6,6,4319
BRASIL,2016,6,7,4262
BRASIL,2016,6,8,4757
BRASIL,2016,6,9,5042
BRASIL,2016,6,10,4979
BRASIL,2016,6,11,3973
BRASIL,2016,6,12,3649
BRASIL,2016,6,13,4604
BRASIL,2016,6,14,4828
BRASIL,2016,6,15,5080
BRASIL,2016,6,16,4882
BRASIL,2016,6,17,5054
BRASIL,2016,6,18,3949
BRASIL,2016,6,19,3643
BRASIL,2016,6,20,4512
BRASIL,2016,6,21,4666
BRASIL,2016,6,22,4857
BRASIL,2016,6,23,5236
BRASIL,2016,6,24,5190
BRASIL,2016,6,25,4033
BRASIL,2016,6,26,3874
BRASIL,2016,6,27,4872
BRASIL,2016,6,28,4920
BRASIL,2016,6,29,5037
BRASIL,2016,6,30,5135
BRASIL,2016,7,1,5183
BRASIL,2016,7,2,4306
BRASIL,2016,7,3,3996
BRASIL,2016,7,4,4802
BRASIL,2016,7,5,4902
BRASIL,2016,7,6,5019
BRASIL,2016,7,7,5482
BRASIL,2016,7,8,5499
BRASIL,2016,7,9,4203
BRASIL,2016,7,10,4058
BRASIL,2016,7,11,4796
BRASIL,2016,7,12,4881
BRASIL,2016,7,13,5014
BRASIL,2016,7,14,5144
BRASIL,2016,7,15,5266
BRASIL,2016,7,16,3973
BRASIL,2016,7,17,4061
BRASIL,2016,7,18,4852
BRASIL,2016,7,19,4814
BRASIL,2016,7,20,4958
BRASIL,2016,7,21,5124
BRASIL,2016,7,22,5233
BRASIL,2016,7,23,4309
BRASIL,2016,7,24,4194
BRASIL,2016,7,25,4841
BRASIL,2016,7,26,4933
BRASIL,2016,7,27,5034
BRASIL,2016,7,28,5088
BRASIL,2016,7,29,5510
BRASIL,2016,7,30,4477
BRASIL,2016,7,31,4378
BRASIL,2016,8,1,4693
BRASIL,2016,8,2,4952
BRASIL,2016,8,3,4888
BRASIL,2016,8,4,5272
BRASIL,2016,8,5,5428
BRASIL,2016,8,6,4173
BRASIL,2016,8,7,3710
BRASIL,2016,8,8,4726
BRASIL,2016,8,9,4568
BRASIL,2016,8,10,4698
BRASIL,2016,8,11,5175
BRASIL,2016,8,12,5190
BRASIL,2016,8,13,4236
BRASIL,2016,8,14,3654
BRASIL,2016,8,15,4484
BRASIL,2016,8,16,4490
BRASIL,2016,8,17,4474
BRASIL,2016,8,18,4725
BRASIL,2016,8,19,4661
BRASIL,2016,8,20,3574
BRASIL,2016,8,21,3450
BRASIL,2016,8,22,5049
BRASIL,2016,8,23,4891
BRASIL,2016,8,24,4907
BRASIL,2016,8,25,5080
BRASIL,2016,8,26,5490
BRASIL,2016,8,27,4172
BRASIL,2016,8,28,3851
BRASIL,2016,8,29,4538
BRASIL,2016,8,30,4526
BRASIL,2016,8,31,4480
BRASIL,2016,9,1,5117
BRASIL,2016,9,2,5083
BRASIL,2016,9,3,3765
BRASIL,2016,9,4,3489
BRASIL,2016,9,5,4190
BRASIL,2016,9,6,4435
BRASIL,2016,9,7,3862
BRASIL,2016,9,8,4580
BRASIL,2016,9,9,4937
BRASIL,2016,9,10,3999
BRASIL,2016,9,11,4060
BRASIL,2016,9,12,4681
BRASIL,2016,9,13,4452
BRASIL,2016,9,14,4582
BRASIL,2016,9,15,4965
BRASIL,2016,9,16,4944
BRASIL,2016,9,17,4290
BRASIL,2016,9,18,3703
BRASIL,2016,9,19,4702
BRASIL,2016,9,20,4680
BRASIL,2016,9,21,4936
BRASIL,2016,9,22,5174
BRASIL,2016,9,23,5256
BRASIL,2016,9,24,4201
BRASIL,2016,9,25,3882
BRASIL,2016,9,26,4815
BRASIL,2016,9,27,5001
BRASIL,2016,9,28,5106
BRASIL,2016,9,29,5385
BRASIL,2016,9,30,5268
BRASIL,2016,10,1,4031
BRASIL,2016,10,2,3671
BRASIL,2016,10,3,4492
BRASIL,2016,10,4,4390
BRASIL,2016,10,5,4666
BRASIL,2016,10,6,4755
